2017,2018,2019,2020,2021,2022,GDP_MD_EST,ISO_A2,POP_RANK,ISO_A3,CONTINENT,POP_EST,INCOME_GRP,SUBREGION,system:index,NAME
4186.250980392157,3508.7215686274512,4322.309803921569,3624.5372549019603,3563.054901960784,3535.1960784313724,16710.0,MR,12,MRT,Africa,3758571,5. Low income,Western Africa,00000000000000000035,Mauritania
4607.878431372549,4533.8823529411775,7129.7254901960805,3406.596078431372,5034.69411764706,4548.988235294119,24310.0,BJ,14,BEN,Africa,11038805,5. Low income,Western Africa,00000000000000000036,Benin
4238.125490196078,4125.941176470587,5947.788235294118,6509.313725490196,9430.635294117648,5151.2,20150.0,NE,14,NER,Africa,19245344,5. Low income,Western Africa,00000000000000000037,Niger
2265.3764705882354,1596.3686274509805,2897.952941176469,1590.611764705883,2386.7647058823522,2678.4431372549006,11610.0,TG,13,TGO,Africa,7965055,5. Low income,Western Africa,0000000000000000003a,Togo
1880.392156862745,2423.1921568627454,2179.4980392156863,2334.1607843137253,2785.4941176470593,2499.850980392157,16080.0,GN,14,GIN,Africa,12413867,5. Low income,Western Africa,0000000000000000003d,Guinea
414.2392156862745,644.8627450980392,539.1098039215686,468.3686274509804,489.2980392156863,441.54901960784315,2851.0,GW,12,GNB,Africa,1792338,5. Low income,Western Africa,0000000000000000003e,Guinea-Bissau
29.0,29.0,22.733333333333334,17.733333333333334,32.733333333333334,20.0,3881.0,LR,12,LBR,Africa,4689021,5. Low income,Western Africa,0000000000000000003f,Liberia
132.98823529411766,210.0,201.0,262.0,222.0235294117647,290.01176470588234,10640.0,SL,13,SLE,Africa,6163195,5. Low income,Western Africa,00000000000000000040,Sierra Leone
1640.3411764705882,1651.8039215686276,1877.650980392157,1575.8117647058823,1985.7215686274515,1664.8039215686274,32990.0,BF,15,BFA,Africa,20107509,5. Low income,Western Africa,00000000000000000041,Burkina Faso
3657.61176470588,3384.631372549018,3400.3882352941155,3497.5450980392143,3952.631372549018,3466.258823529409,3387.0,GM,12,GMB,Africa,2051363,5. Low income,Western Africa,00000000000000000050,Gambia
293.65882352941173,166.843137254902,242.29411764705884,48.89411764705882,8.0,40.886274509803926,906.5,EH,11,ESH,Africa,603253,5. Low income,Northern Africa,00000000000000000002,W. Sahara
353.98823529411766,244.63529411764705,302.7450980392157,326.05882352941177,256.81176470588235,401.8627450980392,35980.0,GA,12,GAB,Africa,1772255,3. Upper middle income,Middle Africa,00000000000000000044,Gabon
11087.92549019608,10227.709803921569,11899.450980392156,10193.337254901962,12972.772549019608,13518.290196078433,189000.0,AO,15,AGO,Africa,29310273,3. Upper middle income,Middle Africa,0000000000000000004a,Angola
20970.070588235292,20548.003921568623,23177.32549019608,21640.61960784314,21221.462745098033,21905.039215686265,130800.0,TN,14,TUN,Africa,11403800,3. Upper middle income,Northern Africa,00000000000000000051,Tunisia
49285.156862745105,64141.282352941176,63672.48235294117,57119.890196078435,51164.20784313726,60358.549019607846,609400.0,DZ,15,DZA,Africa,40969443,3. Upper middle income,Northern Africa,00000000000000000052,Algeria
8561.635294117645,8473.545098039214,9466.807843137256,8664.019607843135,8649.670588235293,8909.709803921567,90890.0,LY,13,LBY,Africa,6653210,3. Upper middle income,Northern Africa,000000000000000000a2,Libya
171930.8274509804,172854.36862745098,174551.65490196078,171983.87450980392,158899.2980392157,159673.0784313725,739100.0,ZA,16,ZAF,Africa,54841552,3. Upper middle income,Southern Africa,00000000000000000019,South Africa
2349.192156862745,2293.3450980392154,2880.4078431372545,2472.5960784313725,3412.8980392156864,3999.4705882352946,35900.0,BW,12,BWA,Africa,2214858,3. Upper middle income,Southern Africa,00000000000000000031,Botswana
1826.313725490196,1347.650980392157,961.5019607843137,2024.8705882352945,2478.725490196078,3073.0156862745107,25990.0,NA,12,NAM,Africa,2484780,3. Upper middle income,Southern Africa,00000000000000000032,Namibia
4380.7764705882355,4612.509803921569,4583.101960784314,4587.050980392157,5105.98431372549,5543.76862745098,77240.0,CM,15,CMR,Africa,24994885,4. Lower middle income,Middle Africa,00000000000000000039,Cameroon
1166.2862745098041,894.3450980392157,1096.7490196078431,855.0117647058822,906.1843137254903,1242.7607843137253,30270.0,CG,12,COG,Africa,4954674,4. Lower middle income,Middle Africa,00000000000000000043,Congo
