Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
0.14274684887347378,0.03588368479854948,0.04777388991754541,0.004018749306529954,0.17697829993637132,0.036072196472412235,0.0023238972631839184,0.25989621009828534,0.02832648385512609,0.08887324432667597,0.034385308891503694,0.01619914207824135,135765.5973,0.0,0.008185072080848864,0.0023162200605587437,0.1160207520406939,01779775,01,4593327154,00,AL,01,A,+32.7396323,6,3,Alabama,-086.8434593,G4000,131174048583,00000000000000000016
0.22129910137024592,0.009832623581637796,0.11300692684654964,8.339900213652249E-4,0.41545729497136447,0.0067579177534376625,0.0011966973861028932,0.035792941791565884,0.03329159654478043,0.0689812538361962,0.023176630663584708,0.021981509063073574,109151.9055,0.0,0.013016789706891558,0.004870121117583238,0.030504605345620835,01325873,47,2350123465,00,TN,47,A,+35.8608030,6,3,Tennessee,-086.3499896,G4000,106802728188,0000000000000000001d
0.2393591709521419,0.005533870037060272,0.13111892184069807,0.0014302957328340433,0.4767711567599798,0.004032624520642132,0.0017895069613904416,0.006205293947933677,0.02163970310368773,0.058190803890793556,0.018069210569825706,0.012531270943686555,104654.30090000002,0.0,0.008516286405196366,0.00348655905072316,0.011325325283406481,01779786,21,2375337755,00,KY,21,A,+37.5336844,6,3,Kentucky,-085.2929801,G4000,102279490672,00000000000000000021
0.1299834544086705,0.022659240519375054,0.14083426979570332,0.007541525721644368,0.0929360861308424,0.02990406336092245,0.0016163577741604691,0.21997678031184928,0.01955020604550474,0.11371716452644576,0.03435426695222566,0.010998338529082984,125437.94649999999,0.0,0.005765586253438867,0.0016244294943077691,0.16853823017582642,01779790,28,3926919758,00,MS,28,A,+32.6864714,6,3,Mississippi,-089.6561377,G4000,121533519481,0000000000000000002c
0.06276063544120647,0.017866807579115622,0.14992518649901357,0.09752135952437775,0.0049892925856133774,0.023931772240059403,0.0016194469250138982,0.20543114854226713,0.012229321929348363,0.011409824715192345,0.17298952049655608,0.021234284567669678,134252.4393,0.0,0.008890389673537946,0.0034060319677185935,0.20579497731330978,01629543,22,23753621895,00,LA,22,A,+30.8634368,7,3,Louisiana,-091.7987173,G4000,111897594374,00000000000000000014
0.10730455662796883,0.14338073293689224,0.12435573390254505,0.010053525757821792,0.02190514662740351,0.42242722030385105,0.0026769880130096684,0.05800975626846898,0.012197685836372945,0.01783655203198929,0.024202042986300284,0.011291190058717664,695521.7173000003,0.0,0.012155617703527886,0.004555089253429411,0.02764816169170106,01779801,48,19006305260,00,TX,48,A,+31.4347032,7,3,Texas,-099.2818238,G4000,676653171537,00000000000000000019
0.12814656668221547,0.3579812112487784,0.17310585175707704,0.0021777520328628685,0.17266113217526408,0.054577132680142075,0.0018010643994180496,0.03149646660300646,0.017378379327385503,0.020235342230788062,0.01735841324336908,0.0073380368785867615,181037.0024,0.0,0.006591296166976304,0.0023986063304371192,0.006752748243692749,01102857,40,3374587997,00,OK,40,A,+35.5900512,7,3,Oklahoma,-097.4868149,G4000,177662925723,0000000000000000001c
0.14858588876141543,0.021314979524642338,0.21468777960629715,0.0028917473688458315,0.20091584650271616,0.0217472124903833,0.001352975241795424,0.17633434500185088,0.013429822154952796,0.05603387854820638,0.021857976185682082,0.011641470139236833,137731.0495,0.0,0.005448449733914211,0.0019338522502146474,0.10182377648984661,00068085,05,2962859592,00,AR,05,A,+34.8955256,7,3,Arkansas,-092.4446262,G4000,134768872727,0000000000000000002b
0.00856741598269731,0.1593268907679233,0.1047956799762215,0.00718223097991512,0.0035426934702042956,0.39815494088179126,0.001922029544211303,0.2931736092430425,0.0029900754862762775,5.637610385908354E-4,0.009465256130898811,0.002987582875781796,216439.75310000003,1.815304233037401E-4,0.001995594588395416,3.062898522591227E-4,0.0048444187584873,01779783,16,2391722557,00,ID,16,A,+44.3484222,8,4,Idaho,-114.5588538,G4000,214049787659,00000000000000000006
0.0017123219861780838,0.17124576784214227,0.018262118595835493,0.0020962111307950286,0.0020208294090444004,0.636766895136338,0.004010425976961932,0.1531117017356382,0.003590608808427682,5.599899359617428E-4,0.001069121954237885,0.001978777261273694,314918.5167,0.0,0.0017576270388930104,2.7951611395354956E-4,0.0015380870743190568,00897535,35,728776523,00,NM,35,A,+34.4346843,8,4,New Mexico,-106.1316181,G4000,314196306401,0000000000000000000c
0.009588039298351645,0.047887564795979255,0.021799177571279606,0.00626607240995385,0.04587436570862648,0.5793185730429006,0.07858719057547656,0.1712914713519341,0.003532434549595692,0.00363396143593439,0.020090942980626105,0.003376227620410394,219884.6119,0.0,0.004278369877141913,0.0014365607364268678,0.00303904804536256,01455989,49,6998824394,00,UT,49,A,+39.3349925,8,4,Utah,-111.6563326,G4000,212886221680,00000000000000000017
0.010675824810690869,0.29954930634004234,0.12457368946702223,0.009553931834204272,0.06454301866764033,0.24627382723957716,0.006477245957544909,0.20320433766407378,0.007942997629678117,0.004884699829303905,0.003441588024044985,0.005360469001959995,269604.0588,5.722373049081114E-4,0.005220240030006551,0.0013192382992418066,0.00640734790006062,01779779,08,1181621593,00,CO,08,A,+38.9938482,8,4,Colorado,-105.5083165,G4000,268422891711,0000000000000000001a
0.01460172869406877,0.23334538047076914,0.01771736620237733,0.011214602982886818,0.0024882107292701003,0.5850954778646271,0.00964128623223539,0.11039641988934659,0.0015943887836365998,3.1036770443341533E-4,0.006255261867450633,0.0010361111631772512,253326.2929,1.4833793827644174E-4,9.664598853804962E-4,1.7469209174220698E-4,0.0050139075003216935,01779807,56,1867670745,00,WY,56,A,+42.9896591,8,4,Wyoming,-107.5443922,G4000,251458544898,0000000000000000001e
0.0036812450997548173,0.11080846339985954,0.005575361788806105,0.004965445599525483,0.002032399463955793,0.7290906762325796,0.03223976424987654,0.09569973432411089,0.001097516012500308,2.6863891432766585E-4,0.0042981318395851585,0.0018578807907898448,286376.23180000007,0.0,0.0033620174898886276,0.001047428755223952,0.0039752960392154995,01779793,32,2047206072,00,NV,32,A,+39.3310928,8,4,Nevada,-116.6151469,G4000,284329506470,00000000000000000027
0.01888592595459818,0.3529880353152335,0.14781584476615406,0.00864259527072879,0.0014028702312984579,0.24296844106911034,0.004082032593618846,0.20402830780628015,0.001840289038911583,4.446738467748154E-4,0.009477039262617113,0.0014051505440162584,380824.96020000003,7.596193270737195E-5,0.0010089462092983893,1.7712415689500805E-4,0.004756762001757047,00767982,30,3869208832,00,MT,30,A,+47.0511771,8,4,Montana,-109.6348174,G4000,376962738765,0000000000000000002e
2.4749718103915877E-4,0.08633578129917752,0.01742390614557107,9.667222453470734E-4,1.9558211207720312E-4,0.7206922727758223,0.022318698791441122,0.12844025783243362,0.0046495317729110365,1.7011692442968284E-4,0.001874047172537665,0.0051128011816161415,295218.716,0.0,0.006879637333020579,0.0015473019671286695,0.0031458452654471946,01779777,04,1027337603,00,AZ,04,A,+34.2039355,8,4,Arizona,-111.6063565,G4000,294198551143,00000000000000000037
0.006185811387307595,0.16041224079073638,0.09736064730347062,0.00878403492910361,0.0015854610213826693,0.39630419464145283,0.043825642386906866,0.17620642867158548,0.013118684617505112,0.012973534190821022,0.04402870978716896,0.009704769606667177,423891.27890000003,1.2600801823195988E-4,0.021493019916904922,0.005551342094384381,0.002339470636370292,01779778,06,20463871877,00,CA,06,A,+37.1551773,9,4,California,-119.5434183,G4000,403503931312,0000000000000000000d
0.034545760475222155,0.1632584032053669,0.04887357356198512,0.014577792047959112,0.001165368314665583,0.3249620159935726,0.006008255766940466,0.34590311306301763,0.005600937067391588,0.019214530325641438,0.021249871846530554,0.004457116098590509,254797.0425,1.1475878885054171E-4,0.003938423657331109,0.0013308867193778358,0.004799193067556897,01155107,41,6192386935,00,OR,41,A,+43.9717125,9,4,Oregon,-120.6229578,G4000,248606993270,00000000000000000010
0.021928325534834463,0.14452878819086254,0.1415257239143515,0.0075606505848884835,0.006648783362619497,0.1479742314689222,0.011685359143113763,0.3846838465990229,0.00992935685819711,0.016770236742508823,0.06766654498865741,0.013643231067751577,184649.36110000004,0.001690326455183169,0.01065587710825824,0.0030286516924211545,0.010080066288406993,01779804,53,12559278850,00,WA,53,A,+47.4073238,9,4,Washington,-120.5757999,G4000,172112588220,00000000000000000013
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01779782,15,11777809026,00,HI,15,A,+19.5977643,9,4,Hawaii,-155.5024434,G4000,16633990195,0000000000000000001f
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01785533,02,245481577452,00,AK,02,A,+63.3473560,9,4,Alaska,-152.8397334,G4000,1478839695958,00000000000000000028
