Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
24155.2186,1073.2496,12334.9214,91.0316,45347.9554,737.6396,130.6218,3906.8678,3633.8412,7529.4353,2529.7734,2399.3236,109151.9055,0,1420.8074,531.583,3329.6358,01325873,47,2350123465,00,TN,47,A,+35.8608030,6,3,Tennessee,-086.3499896,G4000,106802728188,0000000000000000001d
25049.9667,579.1433,13722.1591,149.6866,49896.1521,422.0315,187.2796,649.4107,2264.688,6089.9179,1891.0206,1311.4514,104654.30090000002,0,891.266,364.8834,1185.244,01779786,21,2375337755,00,KY,21,A,+37.5336844,6,3,Kentucky,-085.2929801,G4000,102279490672,00000000000000000021
16304.8576,2842.3286,17665.9616,945.9935,11657.7118,3751.1043,202.7526,27593.4356,2452.3377,14264.4476,4309.3287,1379.609,125437.94649999999,0,723.2233,203.7651,21141.0895,01779790,28,3926919758,00,MS,28,A,+32.6864714,6,3,Mississippi,-089.6561377,G4000,121533519481,0000000000000000002c
8425.7684,2398.6625,20127.822,13092.4804,669.8247,3212.8988,217.4147,27579.6328,1641.8163,1531.7968,23224.2651,2850.7545,134252.4393,0,1193.5565,457.2681,27628.4777,01629543,22,23753621895,00,LA,22,A,+30.8634368,7,3,Louisiana,-091.7987173,G4000,111897594374,00000000000000000014
74632.6495,99724.4136,86492.1136,6992.4455,15235.5052,293807.3057,1861.9033,40347.0453,8483.7554,12405.7093,16833.0465,7853.2679,695521.7173000003,0,8454.4961,3168.1635,19229.8969,01779801,48,19006305260,00,TX,48,A,+31.4347032,7,3,Texas,-099.2818238,G4000,676653171537,00000000000000000019
23199.2703,64807.8454,31338.5645,394.2537,31258.0538,9880.4805,326.0593,5702.0259,3146.1297,3663.3457,3142.5151,1328.4562,181037.0024,0,1193.2685,434.2365,1222.4973,01102857,40,3374587997,00,OK,40,A,+35.5900512,7,3,Oklahoma,-097.4868149,G4000,177662925723,0000000000000000001c
20464.8904,2935.7345,29569.1732,398.2834,27672.3504,2995.2664,186.3467,24286.7144,1849.7035,7717.6049,3010.522,1603.3919,137731.0495,0,750.4207,266.3515,14024.2956,00068085,05,2962859592,00,AR,05,A,+34.8955256,7,3,Arkansas,-092.4446262,G4000,134768872727,0000000000000000002b
1854.3294,34484.6729,22681.9511,1554.5203,766.7797,86176.5571,416.0036,63454.4236,647.1712,122.0203,2048.6577,646.6317,216439.75310000003,39.2904,431.926,66.2933,1048.5248,01779783,16,2391722557,00,ID,16,A,+44.3484222,8,4,Idaho,-114.5588538,G4000,214049787659,00000000000000000006
539.2419,53928.4632,5751.0793,660.1357,636.3966,200529.6861,1262.9574,48217.71,1130.7492,176.3512,336.6863,623.1536,314918.5167,0,553.5093,88.0248,484.3721,00897535,35,728776523,00,NM,35,A,+34.4346843,8,4,New Mexico,-106.1316181,G4000,314196306401,0000000000000000000c
2108.2623,10529.7386,4793.3037,1377.8129,10087.0671,127383.2396,17280.1139,37664.3587,776.728,799.0522,4417.6892,742.3805,219884.6119,0,940.7477,315.8776,668.2399,01455989,49,6998824394,00,UT,49,A,+39.3349925,8,4,Utah,-111.6563326,G4000,212886221680,00000000000000000017
